Datetime,kWh,hour,day_of_month,day_of_week,month,is_weekend,pressure_at_sea,precip_dur_past10min,wind_dir,wind_speed,temp_dew,pressure,visib_mean_last10min,temp_dry,humidity,cloud_cover,visibility
11/1/2018 0:00,0.247,0,1,3,11,0,1017.966667,0,115.1666667,2.616666667,5.9,1011.083333,8150,6.15,98.33333333,5,7666.666667
11/1/2018 1:00,0.131,1,1,3,11,0,1017.75,0,119.5,2.733333333,6.25,1010.883333,13666.66667,6.833333333,96.16666667,44.16666667,13333.33333
11/1/2018 2:00,0.132,2,1,3,11,0,1017.5,0,121.5,3.016666667,5.95,1010.6,22416.66667,7.383333333,90.83333333,77.5,22000
11/1/2018 3:00,0.076,3,1,3,11,0,1017.366667,0,124.1666667,3.7,5.616666667,1010.533333,31483.33333,7.766666667,86.16666667,95,29666.66667
11/1/2018 4:00,0.061,4,1,3,11,0,1016.916667,0,117.6666667,3.333333333,5.516666667,1010.1,36266.66667,7.866666667,85,95,34166.66667
11/1/2018 5:00,0.113,5,1,3,11,0,1016.683333,0,112.3333333,3.716666667,5.583333333,1009.833333,38216.66667,7.883333333,85.66666667,88.33333333,35000
11/1/2018 6:00,0.09,6,1,3,11,0,1016.416667,0,108.1666667,3.333333333,5.566666667,1009.566667,36450,7.4,88,25.83333333,34166.66667
11/1/2018 7:00,0.06,7,1,3,11,0,1016.2,0,114.8333333,3.55,5.883333333,1009.4,35666.66667,7.933333333,86.66666667,9.166666667,33333.33333
11/1/2018 8:00,0.073,8,1,3,11,0,1015.85,0,118.5,3.4,6.116666667,1009.05,33416.66667,8.566666667,84.5,3.333333333,30833.33333
11/1/2018 9:00,0.069,9,1,3,11,0,1015.616667,0,116.3333333,2.566666667,6.4,1008.816667,32016.66667,8.916666667,84.16666667,1.666666667,29333.33333
11/1/2018 10:00,0.057,10,1,3,11,0,1015.266667,0,111.5,2.6,7.016666667,1008.516667,30833.33333,10.36666667,79.83333333,5,29666.66667
11/1/2018 11:00,0.207,11,1,3,11,0,1014.616667,0,90.33333333,3,7.433333333,1007.85,29883.33333,10.31666667,82.5,31.66666667,28000
11/1/2018 12:00,0.185,12,1,3,11,0,1014.316667,0,94.16666667,3.033333333,8.016666667,1007.55,22466.66667,9.833333333,88.16666667,38.33333333,22000
11/1/2018 13:00,0.277,13,1,3,11,0,1013.45,0,88,2.566666667,7.75,1006.716667,27033.33333,9.9,86.33333333,3.333333333,26500
11/1/2018 14:00,0.172,14,1,3,11,0,1013,0,85.33333333,2.833333333,7.6,1006.216667,23700,9.333333333,89,0,23333.33333
11/1/2018 15:00,0.096,15,1,3,11,0,1012.433333,0,85.66666667,3.266666667,7.3,1005.633333,23800,8.866666667,89.66666667,0,23333.33333
11/1/2018 16:00,0.068,16,1,3,11,0,1011.4,0,77.33333333,2.983333333,7.716666667,1004.6,17866.66667,8.85,92.83333333,47.5,17333.33333
11/1/2018 17:00,0.069,17,1,3,11,0,1011.133333,0,82.83333333,2.85,8.1,1004.4,11166.66667,8.883333333,95,63.33333333,10833.33333
11/1/2018 18:00,0.08,18,1,3,11,0,1010.45,0,89.16666667,3.216666667,8.266666667,1003.7,8500,9.016666667,95,82.5,8000
11/1/2018 19:00,0.079,19,1,3,11,0,1010.283333,0,112.1666667,2.983333333,8.25,1003.533333,7450,9.05,95,100,7000
11/1/2018 20:00,1.357,20,1,3,11,0,1009.966667,0,121,2.15,8.1,1003.183333,6516.666667,8.95,94.33333333,100,6000
11/1/2018 21:00,0.434,21,1,3,11,0,1009.1,0,114.1666667,1.85,7.933333333,1002.366667,5816.666667,8.7,95,100,5333.333333
11/1/2018 22:00,0.308,22,1,3,11,0,1008.65,0,119,1.783333333,7.866666667,1001.866667,5683.333333,8.566666667,95.5,100,5000
11/1/2018 23:00,0.334,23,1,3,11,0,1008.866667,0,163.1666667,2.583333333,8.016666667,1002.1,4833.333333,8.6,96,100,4733.333333
11/2/2018 0:00,0.313,0,2,4,11,0,1008.666667,0,198.1666667,1.516666667,7.966666667,1001.916667,3833.333333,8.5,96.33333333,100,3833.333333
11/2/2018 1:00,0.312,1,2,4,11,0,1008.766667,0,181.6666667,2.05,7.933333333,1002.016667,3266.666667,8.366666667,97,100,3266.666667
11/2/2018 2:00,0.287,2,2,4,11,0,1008.8,0,195.3333333,2.433333333,7.883333333,1002.05,3533.333333,8.366666667,97,90,3533.333333
11/2/2018 3:00,0.208,3,2,4,11,0,1008.966667,0,190.5,2.766666667,7.7,1002.183333,3500,8.233333333,96.33333333,87.5,3500
11/2/2018 4:00,0.133,4,2,4,11,0,1009.35,0,185.5,3.883333333,7.866666667,1002.616667,3200,8.3,97.16666667,96.66666667,3200
11/2/2018 5:00,0.072,5,2,4,11,0,1009.75,0,186.1666667,3.916666667,8.316666667,1003,3633.333333,8.683333333,97.83333333,100,3633.333333
11/2/2018 6:00,0.063,6,2,4,11,0,1010.383333,0,187.8333333,4.416666667,8.35,1003.633333,5216.666667,9.033333333,95.5,100,4966.666667
11/2/2018 7:00,0.062,7,2,4,11,0,1011.1,0,189.5,4.683333333,8.283333333,1004.366667,5116.666667,9.116666667,94.66666667,100,5000
11/2/2018 8:00,0.074,8,2,4,11,0,1011.566667,0,186.3333333,5.25,8.416666667,1004.816667,5250,9.316666667,94.16666667,100,4916.666667
11/2/2018 9:00,0.123,9,2,4,11,0,1012.133333,0.166666667,188.1666667,5.583333333,8.75,1005.333333,3450,9.316666667,96.33333333,100,3450
11/2/2018 10:00,0.057,10,2,4,11,0,1012.35,0,190.8333333,5.433333333,8.933333333,1005.566667,5450,9.633333333,95.33333333,95,5333.333333
11/2/2018 11:00,0.076,11,2,4,11,0,1012.766667,0,201.1666667,5.05,8.95,1005.983333,7233.333333,10.06666667,92.66666667,95,6833.333333
11/2/2018 12:00,0.223,12,2,4,11,0,1013.633333,0,228,4.466666667,9,1006.883333,18716.66667,10.21666667,92.16666667,89.16666667,17833.33333
11/2/2018 13:00,0.071,13,2,4,11,0,1014.683333,0,252.8333333,4.416666667,7.5,1007.933333,45050,10.23333333,83,84.16666667,42500
11/2/2018 14:00,0.064,14,2,4,11,0,1015.916667,0,244.5,4.8,6.8,1009.166667,40483.33333,10.11666667,80,67.5,38333.33333
11/2/2018 15:00,0.099,15,2,4,11,0,1017.116667,0,246.3333333,4.716666667,5.966666667,1010.3,43866.66667,9.333333333,79.33333333,59.16666667,40833.33333
11/2/2018 16:00,0.081,16,2,4,11,0,1018.15,0,244.3333333,4.383333333,5.666666667,1011.333333,40016.66667,8.133333333,84.5,3.333333333,37500
11/2/2018 17:00,0.071,17,2,4,11,0,1019.116667,0,243.5,5.033333333,5.583333333,1012.266667,37083.33333,7.75,86.16666667,13.33333333,34166.66667
11/2/2018 18:00,0.065,18,2,4,11,0,1020.316667,0,244.8333333,5.2,5.616666667,1013.433333,35466.66667,7.516666667,88.16666667,45.83333333,33333.33333
11/2/2018 19:00,0.07,19,2,4,11,0,1021.133333,0,255,4.466666667,5.516666667,1014.266667,36183.33333,7.15,89.16666667,37.5,34166.66667
11/2/2018 20:00,0.115,20,2,4,11,0,1022.183333,0.166666667,259,4.25,5.516666667,1015.283333,26500,6.966666667,90.5,77.5,25500
